1,Pontianak,11
2,Banda Aceh,2
3,Banjarmasin,11
4,Jambi,4
5,Semarang,6
6,Lampung,4
7,Denpasar,8
8,Bengkulu,4
9,Yogyakarta,6
10,Solo,6
11,Jayapura,12
12,Jakarta,1
13,Serang,1
14,Medan,2
15,Palembang,4
16,Padang,3
17,Pekanbaru,3
18,Batam,3
19,Bandung,5
20,Surabaya,7
21,Lumajang,7
22,Makasar,9
23,Manado,10
24,Balikpapan,11
26,Pekalongan,6
27,Palu,10
28,Pematang Siantar,2
29,Rantau Prapat,2
30,Tegal,6
31,Malang,7
32,Kendari,9
33,Samarinda,11
34,Sukabumi,5
35,Tasikmalaya,5
36,Jember,7
37,Brastagi,2
38,Kediri,7
39,Jakarta Kota,13
40,Jakarta Senayan,14
41,Jakarta Kemayoran,15
42,Jakarta BSD,16
43,Kudus,6
44,Bontang,11
45,Mataram,8
46,Cirebon,5
